note_text,icd_code
Chronic peptic ulcer site unspecified without hemorrhage or perforation ,K27.7
Chronic peptic ulcer site unspecified without hemorrhage or perforation ,K27.7
Peptic ulcer site unspecified unspecified as acute or chronic without hemorrhage or perforation ,K27.9
Peptic ulcer site unspecified unspecified as acute or chronic without hemorrhage or perforation ,K27.9
Acute gastrojejunal ulcer with hemorrhage ,K28.0
Acute gastrojejunal ulcer with hemorrhage ,K28.0
Acute gastrojejunal ulcer with perforation ,K28.1
Acute gastrojejunal ulcer with perforation ,K28.1
Acute gastrojejunal ulcer with both hemorrhage and perforation ,K28.2
Acute gastrojejunal ulcer with both hemorrhage and perforation ,K28.2
Acute gastrojejunal ulcer without hemorrhage or perforation ,K28.3
Acute gastrojejunal ulcer without hemorrhage or perforation ,K28.3
Chronic or unspecified gastrojejunal ulcer with hemorrhage ,K28.4
Chronic or unspecified gastrojejunal ulcer with hemorrhage ,K28.4
Chronic or unspecified gastrojejunal ulcer with perforation ,K28.5
Chronic or unspecified gastrojejunal ulcer with perforation ,K28.5
Chronic or unspecified gastrojejunal ulcer with both hemorrhage and perforation ,K28.6
Chronic or unspecified gastrojejunal ulcer with both hemorrhage and perforation ,K28.6
Chronic gastrojejunal ulcer without hemorrhage or perforation ,K28.7
Chronic gastrojejunal ulcer without hemorrhage or perforation ,K28.7
Gastrojejunal ulcer unspecified as acute or chronic without hemorrhage or perforation ,K28.9
Gastrojejunal ulcer unspecified as acute or chronic without hemorrhage or perforation ,K28.9
Acute gastritis without bleeding ,K29.00
Acute gastritis with bleeding ,K29.01
Chronic atrophic gastritis without bleeding ,K29.40
Chronic atrophic gastritis with bleeding ,K29.41
Other gastritis without bleeding ,K29.60
Other gastritis with bleeding ,K29.61
Alcoholic gastritis without bleeding ,K29.20
Alcoholic gastritis with bleeding ,K29.21
Other gastritis without bleeding ,K29.60
Other gastritis with bleeding ,K29.61
Gastroduodenitis unspecified without bleeding ,K29.90
Gastroduodenitis unspecified with bleeding ,K29.91
Duodenitis without bleeding ,K29.80
Duodenitis with bleeding ,K29.81
Eosinophilic gastritis or gastroenteritis ,K52.81
Eosinophilic gastritis or gastroenteritis ,K52.81
Achlorhydria ,K31.83
Acute dilatation of stomach ,K31.0
Vomiting unspecified ,R11.10
Gastroparesis ,K31.84
Gastrostomy complication unspecified ,K94.20
Gastrostomy infection ,K94.22
Gastrostomy malfunction ,K94.23
Other complications of gastrostomy ,K94.29
Functional dyspepsia ,K30
Disease of stomach and duodenum unspecified ,K31.9
Adult hypertrophic pyloric stenosis ,K31.1
Gastric diverticulum ,K31.4
Obstruction of duodenum ,K31.5
Obstruction of duodenum ,K31.5
Fistula of stomach and duodenum ,K31.6
Other diseases of stomach and duodenum ,K31.89
Hourglass stricture and stenosis of stomach ,K31.2
Pylorospasm not elsewhere classified ,K31.3
Angiodysplasia of stomach and duodenum without bleeding ,K31.819
Angiodysplasia of stomach and duodenum with bleeding ,K31.811
Dieulafoy lesion (hemorrhagic) of stomach and duodenum ,K31.82
Other diseases of stomach and duodenum ,K31.89
Disease of stomach and duodenum unspecified ,K31.9
Gastrointestinal mucositis (ulcerative) ,K92.81
Infection due to gastric band procedure ,K95.01
Other complications of gastric band procedure ,K95.09
Infection due to other bariatric procedure ,K95.81
Other complications of other bariatric procedure ,K95.89
Acute appendicitis with generalized peritonitis ,K35.2
Acute appendicitis with localized peritonitis ,K35.3
Unspecified acute appendicitis ,K35.80
Unspecified appendicitis ,K37
Other appendicitis ,K36
Hyperplasia of appendix ,K38.0
Disease of appendix unspecified ,K38.9
Unilateral inguinal hernia with gangrene not specified as recurrent ,K40.40
Unilateral inguinal hernia with gangrene recurrent ,K40.41
Bilateral inguinal hernia with gangrene not specified as recurrent ,K40.10
Bilateral inguinal hernia with gangrene recurrent ,K40.11
Unilateral inguinal hernia with obstruction without gangrene not specified as recurrent ,K40.30
Unilateral inguinal hernia with obstruction without gangrene recurrent ,K40.31
Bilateral inguinal hernia with obstruction without gangrene not specified as recurrent ,K40.00
Bilateral inguinal hernia with obstruction without gangrene recurrent ,K40.01
Unilateral inguinal hernia without obstruction or gangrene not specified as recurrent ,K40.90
Unilateral inguinal hernia without obstruction or gangrene recurrent ,K40.91
Bilateral inguinal hernia without obstruction or gangrene not specified as recurrent ,K40.20
Bilateral inguinal hernia without obstruction or gangrene recurrent ,K40.21
Unilateral femoral hernia with gangrene not specified as recurrent ,K41.40
Unilateral femoral hernia with gangrene recurrent ,K41.41
Bilateral femoral hernia with gangrene not specified as recurrent ,K41.10
Bilateral femoral hernia with gangrene recurrent ,K41.11
Umbilical hernia with gangrene ,K42.1
Other and unspecified ventral hernia with gangrene ,K43.7
Incisional hernia with gangrene ,K43.1
Other and unspecified ventral hernia with gangrene ,K43.7
Diaphragmatic hernia with gangrene ,K44.1
Other specified abdominal hernia with gangrene ,K45.1
Unspecified abdominal hernia with gangrene ,K46.1
Unilateral femoral hernia with obstruction without gangrene not specified as recurrent ,K41.30
Unilateral femoral hernia with obstruction without gangrene recurrent ,K41.31
Bilateral femoral hernia with obstruction without gangrene not specified as recurrent ,K41.00
Bilateral femoral hernia with obstruction without gangrene recurrent ,K41.01
Umbilical hernia with obstruction without gangrene ,K42.0
Other and unspecified ventral hernia with obstruction without gangrene ,K43.6
Incisional hernia with obstruction without gangrene ,K43.0
Other and unspecified ventral hernia with obstruction without gangrene ,K43.6
Diaphragmatic hernia with obstruction without gangrene ,K44.0
Other specified abdominal hernia with obstruction without gangrene ,K45.0
Unspecified abdominal hernia with obstruction without gangrene ,K46.0
Unilateral femoral hernia without obstruction or gangrene not specified as recurrent ,K41.90
Unilateral femoral hernia without obstruction or gangrene recurrent ,K41.91
Bilateral femoral hernia without obstruction or gangrene not specified as recurrent ,K41.20
Bilateral femoral hernia without obstruction or gangrene recurrent ,K41.21
Umbilical hernia without obstruction or gangrene ,K42.9
Ventral hernia without obstruction or gangrene ,K43.9
Incisional hernia without obstruction or gangrene ,K43.2
Ventral hernia without obstruction or gangrene ,K43.9
Diaphragmatic hernia without obstruction or gangrene ,K44.9
Other specified abdominal hernia without obstruction or gangrene ,K45.8
Unspecified abdominal hernia without obstruction or gangrene ,K46.9
Crohn's disease of small intestine without complications ,K50.00
Crohn's disease of large intestine without complications ,K50.10
Crohn's disease of both small and large intestine without complications ,K50.80
Crohn's disease unspecified without complications ,K50.90
Other ulcerative colitis without complications ,K51.80
Other ulcerative colitis without complications ,K51.80
Ulcerative (chronic) proctitis without complications ,K51.20
Ulcerative (chronic) rectosigmoiditis without complications ,K51.30
Inflammatory polyps of colon without complications ,K51.40
Left sided colitis without complications ,K51.50
Ulcerative (chronic) pancolitis without complications ,K51.00
Other ulcerative colitis without complications ,K51.80
Ulcerative colitis unspecified without complications ,K51.90
Acute vascular disorders of intestine ,K55.0
Chronic vascular disorders of intestine ,K55.1
Vascular disorder of intestine unspecified ,K55.9
Gastroenteritis and colitis due to radiation ,K52.0
Toxic gastroenteritis and colitis ,K52.1
Allergic and dietetic gastroenteritis and colitis ,K52.2
Eosinophilic gastritis or gastroenteritis ,K52.81
Eosinophilic colitis ,K52.82
Noninfective gastroenteritis and colitis unspecified ,K52.9
Intussusception ,K56.1
Paralytic ileus ,K56.0
Volvulus ,K56.2
Other impaction of intestine ,K56.49
Gallstone ileus ,K56.3
Fecal impaction ,K56.41
Other impaction of intestine ,K56.49
Intestinal adhesions [bands] with obstruction (postprocedural) (postinfection) ,K56.5
Other intestinal obstruction ,K56.69
Unspecified intestinal obstruction ,K56.60
Diverticulosis of small intestine without perforation or abscess without bleeding ,K57.10
Diverticulitis of small intestine without perforation or abscess without bleeding ,K57.12
Diverticulosis of small intestine without perforation or abscess with bleeding ,K57.11
Diverticulitis of small intestine without perforation or abscess with bleeding ,K57.13
Diverticulosis of large intestine without perforation or abscess without bleeding ,K57.30
Diverticulitis of large intestine without perforation or abscess without bleeding ,K57.32
Diverticulosis of large intestine without perforation or abscess with bleeding ,K57.31
Diverticulitis of large intestine without perforation or abscess with bleeding ,K57.33
Constipation unspecified ,K59.00
Slow transit constipation ,K59.01
Outlet dysfunction constipation ,K59.02
Other constipation ,K59.09
Irritable bowel syndrome without diarrhea ,K58.9
Postgastric surgery syndromes ,K91.1
Vomiting following gastrointestinal surgery ,K91.0
Other postprocedural complications and disorders of digestive system ,K91.89
Functional diarrhea ,K59.1
Anal spasm ,K59.4
Megacolon not elsewhere classified ,K59.3
Neurogenic bowel not elsewhere classified ,K59.2
Other specified functional intestinal disorders ,K59.8
Functional intestinal disorder unspecified ,K59.9
Anal fissure unspecified ,K60.2
Anal fistula ,K60.3
Ischiorectal abscess ,K61.3
Disorders of peritoneum in infectious diseases classified elsewhere ,K67
Other peritonitis ,K65.8
Generalized (acute) peritonitis ,K65.0
Peritoneal abscess ,K65.1
Spontaneous bacterial peritonitis ,K65.2
Generalized (acute) peritonitis ,K65.0
Psoas muscle abscess ,K68.12
Other retroperitoneal abscess ,K68.19
Other disorders of retroperitoneum ,K68.9
Choleperitonitis ,K65.3
Sclerosing mesenteritis ,K65.4
Other peritonitis ,K65.8
Peritonitis unspecified ,K65.9
Peritoneal adhesions (postprocedural) (postinfection) ,K66.0
Hemoperitoneum ,K66.1
Other ascites ,R18.8
Other specified disorders of peritoneum ,K66.8
Disorder of peritoneum unspecified ,K66.9
Anal polyp ,K62.0
Rectal prolapse ,K62.3
Stenosis of anus and rectum ,K62.4
Hemorrhage of anus and rectum ,K62.5
Ulcer of anus and rectum ,K62.6
Other specified diseases of anus and rectum ,K62.89
Anal sphincter tear (healed) (nontraumatic) (old) ,K62.81
Dysplasia of anus ,K62.82
Other specified diseases of anus and rectum ,K62.89
Abscess of intestine ,K63.0
Colostomy complication unspecified ,K94.00
Colostomy infection ,K94.02
Colostomy malfunction ,K94.03
Other complications of colostomy ,K94.09
Pouchitis ,K91.850
Other complications of intestinal pouch ,K91.858
Fistula of intestine ,K63.2
Ulcer of intestine ,K63.3
Perforation of intestine (nontraumatic) ,K63.1
Angiodysplasia of colon without hemorrhage ,K55.20
Angiodysplasia of colon with hemorrhage ,K55.21
Dieulafoy lesion of intestine ,K63.81
Vomiting of fecal matter ,R11.13
Other specified diseases of intestine ,K63.89
Disease of intestine unspecified ,K63.9
Acute and subacute hepatic failure without coma ,K72.00
Alcoholic fatty liver ,K70.0
Alcoholic hepatitis without ascites ,K70.10
Alcoholic cirrhosis of liver without ascites ,K70.30
Alcoholic liver disease unspecified ,K70.9
Chronic hepatitis unspecified ,K73.9
Chronic persistent hepatitis not elsewhere classified ,K73.0
Autoimmune hepatitis ,K75.4
Other chronic hepatitis not elsewhere classified ,K73.8
Hepatic fibrosis ,K74.0
Primary biliary cirrhosis ,K74.3
Other specified diseases of liver ,K76.89
Liver disease unspecified ,K76.9
Abscess of liver ,K75.0
Phlebitis of portal vein ,K75.1
Hepatic failure unspecified with coma ,K72.91
Portal hypertension ,K76.6
Hepatorenal syndrome ,K76.7
Hepatic failure unspecified without coma ,K72.90
Chronic passive congestion of liver ,K76.1
Liver disorders in diseases classified elsewhere ,K77
Liver disorders in diseases classified elsewhere ,K77
Inflammatory liver disease unspecified ,K75.9
Infarction of liver ,K76.3
Hepatopulmonary syndrome ,K76.81
Other specified diseases of liver ,K76.89
Liver disease unspecified ,K76.9
Calculus of gallbladder with acute cholecystitis without obstruction ,K80.00
Calculus of gallbladder with acute cholecystitis with obstruction ,K80.01
Calculus of gallbladder with other cholecystitis without obstruction ,K80.18
Calculus of gallbladder with other cholecystitis with obstruction ,K80.19
Calculus of gallbladder without cholecystitis without obstruction ,K80.20
Calculus of gallbladder without cholecystitis with obstruction ,K80.21
Calculus of bile duct with acute cholecystitis without obstruction ,K80.42
Calculus of bile duct with acute cholecystitis with obstruction ,K80.43
Calculus of bile duct with chronic cholecystitis without obstruction ,K80.44
Calculus of bile duct with chronic cholecystitis with obstruction ,K80.45
Calculus of bile duct without cholangitis or cholecystitis without obstruction ,K80.50
Calculus of bile duct without cholangitis or cholecystitis with obstruction ,K80.51
Calculus of gallbladder and bile duct with acute cholecystitis without obstruction ,K80.62
Calculus of gallbladder and bile duct with acute cholecystitis with obstruction ,K80.63
Calculus of gallbladder and bile duct with chronic cholecystitis without obstruction ,K80.64
Calculus of gallbladder and bile duct with chronic cholecystitis with obstruction ,K80.65
Calculus of gallbladder and bile duct with acute and chronic cholecystitis without obstruction ,K80.66
Calculus of gallbladder and bile duct with acute and chronic cholecystitis with obstruction ,K80.67
Calculus of gallbladder and bile duct without cholecystitis without obstruction ,K80.70
Calculus of gallbladder and bile duct without cholecystitis with obstruction ,K80.71
Acute cholecystitis ,K81.0
Cholecystitis unspecified ,K81.9
Chronic cholecystitis ,K81.1
Acute cholecystitis with chronic cholecystitis ,K81.2
Obstruction of gallbladder ,K82.0
Hydrops of gallbladder ,K82.1
Perforation of gallbladder ,K82.2
Fistula of gallbladder ,K82.3
Cholesterolosis of gallbladder ,K82.4
Other specified diseases of gallbladder ,K82.8
Disease of gallbladder unspecified ,K82.9
Postcholecystectomy syndrome ,K91.5
Cholangitis ,K83.0
Obstruction of bile duct ,K83.1
Perforation of bile duct ,K83.2
Fistula of bile duct ,K83.3
Spasm of sphincter of Oddi ,K83.4
Biliary cyst ,K83.5
Disease of biliary tract unspecified ,K83.9
Acute pancreatitis unspecified ,K85.9
Other chronic pancreatitis ,K86.1
Cyst of pancreas ,K86.2
Other specified diseases of pancreas ,K86.8
Disease of pancreas unspecified ,K86.9
Hematemesis ,K92.0
Melena ,K92.1
Gastrointestinal hemorrhage unspecified ,K92.2
Celiac disease ,K90.0
Tropical sprue ,K90.1
Blind loop syndrome not elsewhere classified ,K90.2
Postsurgical malabsorption not elsewhere classified ,K91.2
Pancreatic steatorrhea ,K90.3
Other intestinal malabsorption ,K90.89
Intestinal malabsorption unspecified ,K90.9
Acute nephritic syndrome with diffuse mesangial proliferative glomerulonephritis ,N00.3
Rapidly progressive nephritic syndrome with diffuse mesangial proliferative glomerulonephritis ,N01.3
Glomerular disorders in diseases classified elsewhere ,N08
Acute nephritic syndrome with other morphologic changes ,N00.8
Acute nephritic syndrome with unspecified morphologic changes ,N00.9
Nephrotic syndrome with diffuse endocapillary proliferative glomerulonephritis ,N04.4
Recurrent and persistent hematuria with diffuse membranous glomerulonephritis ,N02.2
Nephrotic syndrome with diffuse mesangial proliferative glomerulonephritis ,N04.3
Nephrotic syndrome with minor glomerular abnormality ,N04.0
Glomerular disorders in diseases classified elsewhere ,N08
Nephrotic syndrome with other morphologic changes ,N04.8
Nephrotic syndrome with unspecified morphologic changes ,N04.9
Chronic nephritic syndrome with diffuse membranous glomerulonephritis ,N03.2
Chronic nephritic syndrome with diffuse mesangial proliferative glomerulonephritis ,N03.3
Chronic nephritic syndrome with diffuse mesangiocapillary glomerulonephritis ,N03.5
Chronic nephritic syndrome with other morphologic changes ,N03.8
Glomerular disorders in diseases classified elsewhere ,N08
Chronic nephritic syndrome with other morphologic changes ,N03.8
Chronic nephritic syndrome with unspecified morphologic changes ,N03.9
Unspecified nephritic syndrome with unspecified morphologic changes ,N05.9
Unspecified nephritic syndrome with diffuse membranous glomerulonephritis ,N05.2
Unspecified nephritic syndrome with diffuse mesangiocapillary glomerulonephritis ,N05.5
Unspecified nephritic syndrome with unspecified morphologic changes ,N05.9
Acute kidney failure with acute cortical necrosis ,N17.1
Acute kidney failure with medullary necrosis ,N17.2
Glomerular disorders in diseases classified elsewhere ,N08
Unspecified nephritic syndrome with other morphologic changes ,N05.8
Unspecified nephritic syndrome with unspecified morphologic changes ,N05.9
Acute kidney failure with tubular necrosis ,N17.0
Acute kidney failure with acute cortical necrosis ,N17.1
Acute kidney failure with medullary necrosis ,N17.2
Other acute kidney failure ,N17.8
Acute kidney failure unspecified ,N17.9
Chronic kidney disease stage 1 ,N18.1
Chronic kidney disease stage 2 (mild) ,N18.2
Chronic kidney disease stage 3 (moderate) ,N18.3
Chronic kidney disease stage 4 (severe) ,N18.4
Chronic kidney disease stage 5 ,N18.5
End stage renal disease ,N18.6
Chronic kidney disease unspecified ,N18.9
Unspecified kidney failure ,N19
Renal sclerosis unspecified ,N26.9
Renal osteodystrophy ,N25.0
Nephrogenic diabetes insipidus ,N25.1
Secondary hyperparathyroidism of renal origin ,N25.81
Other disorders resulting from impaired renal tubular function ,N25.89
Disorder resulting from impaired renal tubular function unspecified ,N25.9
Small kidney unilateral ,N27.0
Small kidney bilateral ,N27.1
Small kidney unspecified ,N27.9
Nonobstructive reflux-associated chronic pyelonephritis ,N11.0
Other chronic tubulo-interstitial nephritis ,N11.8
Acute tubulo-interstitial nephritis ,N10
Acute tubulo-interstitial nephritis ,N10
Renal and perinephric abscess ,N15.1
Pyelitis cystica ,N28.84
Tubulo-interstitial nephritis not specified as acute or chronic ,N12
Renal tubulo-interstitial disorders in diseases classified elsewhere ,N16
Renal tubulo-interstitial disease unspecified ,N15.9
Unspecified hydronephrosis ,N13.30
Calculus of kidney ,N20.0
Calculus of ureter ,N20.1
Urinary calculus unspecified ,N20.9
Nephroptosis ,N28.83
Hypertrophy of kidney ,N28.81
Cyst of kidney acquired ,N28.1
Crossing vessel and stricture of ureter without hydronephrosis ,N13.5
Other obstructive and reflux uropathy ,N13.8
Hydroureter ,N13.4
Orthostatic proteinuria unspecified ,R80.2
Vesicoureteral-reflux unspecified ,N13.70
Vesicoureteral-reflux with reflux nephropathy without hydroureter unilateral ,N13.721
Vesicoureteral-reflux with reflux nephropathy without hydroureter bilateral ,N13.722
Vesicoureteral-reflux with reflux nephropathy without hydroureter unspecified ,N13.729
Ischemia and infarction of kidney ,N28.0
Other specified disorders of kidney and ureter ,N28.89
Other specified disorders of kidney and ureter ,N28.89
Disorder of kidney and ureter unspecified ,N28.9
Calculus in bladder ,N21.0
Calculus in bladder ,N21.0
Calculus in urethra ,N21.1
Other lower urinary tract calculus ,N21.8
Calculus of lower urinary tract unspecified ,N21.9
Acute cystitis without hematuria ,N30.00
Interstitial cystitis (chronic) without hematuria ,N30.10
Other chronic cystitis without hematuria ,N30.20
Trigonitis without hematuria ,N30.30
Other cystitis with hematuria ,N30.81
Other cystitis with hematuria ,N30.81
Irradiation cystitis without hematuria ,N30.40
Other cystitis without hematuria ,N30.80
Cystitis unspecified without hematuria ,N30.90
Bladder-neck obstruction ,N32.0
Vesicointestinal fistula ,N32.1
Vesical fistula not elsewhere classified ,N32.2
Diverticulum of bladder ,N32.3
Flaccid neuropathic bladder not elsewhere classified ,N31.2
Overactive bladder ,N32.81
Other neuromuscular dysfunction of bladder ,N31.8
Flaccid neuropathic bladder not elsewhere classified ,N31.2
Neuromuscular dysfunction of bladder unspecified ,N31.9
Muscular disorders of urethra ,N36.44
Neuromuscular dysfunction of bladder unspecified ,N31.9
Other specified disorders of bladder ,N32.89
Other specified disorders of bladder ,N32.89
Cystostomy infection ,N99.511
Cystostomy malfunction ,N99.512
Other cystostomy complication ,N99.518
Other specified disorders of bladder ,N32.89
Bladder disorder unspecified ,N32.9
Urethral abscess ,N34.0
Nonspecific urethritis ,N34.1
Urethral syndrome unspecified ,N34.3
Other urethritis ,N34.2
Postinfective urethral stricture not elsewhere classified male meatal ,N35.111
Urethral disorders in diseases classified elsewhere ,N37
Post-traumatic urethral stricture male unspecified ,N35.014
Postprocedural urethral stricture male meatal ,N99.110
Other urethral stricture ,N35.8
Urethral stricture unspecified ,N35.9
Urinary tract infection site not specified ,N39.0
Urethral fistula ,N36.0
Urethral diverticulum ,N36.1
Urethral caruncle ,N36.2
Urethral false passage ,N36.5
Other specified disorders of urethra ,N36.8
Obstructive and reflux uropathy unspecified ,N13.9
Obstructive and reflux uropathy unspecified ,N13.9
Hematuria unspecified ,R31.9
Gross hematuria ,R31.0
Benign essential microscopic hematuria ,R31.1
Hypermobility of urethra ,N36.41
Intrinsic sphincter deficiency (ISD) ,N36.42
Other specified disorders of urethra ,N36.8
Other specified disorders of urethra ,N36.8
Other specified disorders of urinary system ,N39.8
Urethral disorder unspecified ,N36.9
Enlarged prostate without lower urinary tract symptoms ,N40.0
Enlarged prostate with lower urinary tract symptoms ,N40.1
Nodular prostate without lower urinary tract symptoms ,N40.2
Nodular prostate with lower urinary tract symptoms ,N40.3
Enlarged prostate without lower urinary tract symptoms ,N40.0
Enlarged prostate with lower urinary tract symptoms ,N40.1
Cyst of prostate ,N42.83
Enlarged prostate without lower urinary tract symptoms ,N40.0
Enlarged prostate with lower urinary tract symptoms ,N40.1
Acute prostatitis ,N41.0
Chronic prostatitis ,N41.1
Abscess of prostate ,N41.2
Prostatocystitis ,N41.3
Disorders of male genital organs in diseases classified elsewhere ,N51
Other inflammatory diseases of prostate ,N41.8
Inflammatory disease of prostate unspecified ,N41.9
Calculus of prostate ,N42.0
Congestion and hemorrhage of prostate ,N42.1
Other specified disorders of prostate ,N42.89
Dysplasia of prostate ,N42.3
Other specified disorders of prostate ,N42.89
Disorder of prostate unspecified ,N42.9
Encysted hydrocele ,N43.0
Infected hydrocele ,N43.1
Other hydrocele ,N43.2
Hydrocele unspecified ,N43.3
Abscess of epididymis or testis ,N45.4
Epididymitis ,N45.1
Disorders of male genital organs in diseases classified elsewhere ,N51
Epididymitis ,N45.1
Phimosis ,N47.1
Organic azoospermia ,N46.01
Organic oligospermia ,N46.11
Azoospermia due to other extratesticular causes ,N46.029
Male infertility unspecified ,N46.9
Leukoplakia of penis ,N48.0
Balanoposthitis ,N47.6
Other inflammatory disorders of penis ,N48.29
Priapism unspecified ,N48.30
Leukoplakia of penis ,N48.0
Vascular disorders of male genital organs ,N50.1
Other specified disorders of penis ,N48.89
Male erectile dysfunction unspecified ,N52.9
Induration penis plastica ,N48.6
Ulcer of penis ,N48.5
Disorder of penis unspecified ,N48.9
Inflammatory disorders of seminal vesicle ,N49.0
Spermatocele of epididymis unspecified ,N43.40
Torsion of testis unspecified ,N44.00
Extravaginal torsion of spermatic cord ,N44.01
Intravaginal torsion of spermatic cord ,N44.02
Torsion of appendix testis ,N44.03
Torsion of appendix epididymis ,N44.04
Atrophy of testis ,N50.0
Inflammatory disorder of unspecified male genital organ ,N49.9
Disorders of male genital organs in diseases classified elsewhere ,N51
Hematospermia ,R36.1
Vascular disorders of male genital organs ,N50.1
Other specified disorders of male genital organs ,N50.8
Other specified disorders of male genital organs ,N50.8
Other specified disorders of male genital organs ,N50.8
Retrograde ejaculation ,N53.14
Other specified disorders of male genital organs ,N50.8
Disorder of male genital organs unspecified ,N50.9
Solitary cyst of unspecified breast ,N60.09
Diffuse cystic mastopathy of unspecified breast ,N60.19
Fibroadenosis of unspecified breast ,N60.29
Fibrosclerosis of unspecified breast ,N60.39
Mammary duct ectasia of unspecified breast ,N60.49
Other benign mammary dysplasias of unspecified breast ,N60.89
Unspecified benign mammary dysplasia of unspecified breast ,N60.99
Inflammatory disorders of breast ,N61
Hypertrophy of breast ,N62
Fissure and fistula of nipple ,N64.0
Fat necrosis of breast ,N64.1
Atrophy of breast ,N64.2
Other specified disorders of breast ,N64.89
Galactorrhea not associated with childbirth ,N64.3
Mastodynia ,N64.4
Unspecified lump in breast ,N63
Other signs and symptoms in breast ,N64.59
Ptosis of breast ,N64.81
Hypoplasia of breast ,N64.82
Other specified disorders of breast ,N64.89
Other specified disorders of breast ,N64.89
Disorder of breast unspecified ,N64.9
Deformity of reconstructed breast ,N65.0
Disproportion of reconstructed breast ,N65.1
Acute salpingitis and oophoritis ,N70.03
Chronic salpingitis and oophoritis ,N70.13
Salpingitis and oophoritis unspecified ,N70.93
Acute parametritis and pelvic cellulitis ,N73.0
Chronic parametritis and pelvic cellulitis ,N73.1
Female acute pelvic peritonitis ,N73.3
Female pelvic peritoneal adhesions (postinfective) ,N73.6
Female chronic pelvic peritonitis ,N73.4
Other specified female pelvic inflammatory diseases ,N73.8
Female pelvic inflammatory disease unspecified ,N73.9
Acute inflammatory disease of uterus ,N71.0
Chronic inflammatory disease of uterus ,N71.1
Inflammatory disease of uterus unspecified ,N71.9
Inflammatory disease of cervix uteri ,N72
Acute vaginitis ,N76.0
Vaginitis vulvitis and vulvovaginitis in diseases classified elsewhere ,N77.1
Cyst of Bartholin's gland ,N75.0
Abscess of Bartholin's gland ,N75.1
Abscess of vulva ,N76.4
Ulceration of vulva ,N76.6
Ulceration of vulva in diseases classified elsewhere ,N77.0
Mucositis (ulcerative) of vagina and vulva ,N76.81
Other specified inflammation of vagina and vulva ,N76.89
Female pelvic inflammatory disease unspecified ,N73.9
Endometriosis of uterus ,N80.0
Endometriosis of ovary ,N80.1
Endometriosis of fallopian tube ,N80.2
Endometriosis of pelvic peritoneum ,N80.3
Endometriosis of rectovaginal septum and vagina ,N80.4
Endometriosis of intestine ,N80.5
Endometriosis in cutaneous scar ,N80.6
Other endometriosis ,N80.8
Endometriosis unspecified ,N80.9
Female genital prolapse unspecified ,N81.9
Cystocele midline ,N81.11
Cystocele lateral ,N81.12
Urethrocele ,N81.0
Rectocele ,N81.6
Perineocele ,N81.81
Other female genital prolapse ,N81.89
Incomplete uterovaginal prolapse ,N81.2
Incomplete uterovaginal prolapse ,N81.2
Complete uterovaginal prolapse ,N81.3
Uterovaginal prolapse unspecified ,N81.4
Prolapse of vaginal vault after hysterectomy ,N99.3
Vaginal enterocele ,N81.5
Other female genital prolapse ,N81.89
Incompetence or weakening of pubocervical tissue ,N81.82
Incompetence or weakening of rectovaginal tissue ,N81.83
Pelvic muscle wasting ,N81.84
Cervical stump prolapse ,N81.85
Other female genital prolapse ,N81.89
Female genital prolapse unspecified ,N81.9
Vesicovaginal fistula ,N82.0
Other female intestinal-genital tract fistulae ,N82.4
Female genital tract-skin fistulae ,N82.5
Other female genital tract fistulae ,N82.8
Female genital tract fistula unspecified ,N82.9
Follicular cyst of ovary ,N83.0
Corpus luteum cyst ,N83.1
Unspecified ovarian cysts ,N83.20
Acquired atrophy of ovary and fallopian tube ,N83.33
Prolapse and hernia of ovary and fallopian tube ,N83.4
Torsion of ovary ovarian pedicle and fallopian tube ,N83.53
Other noninflammatory disorders of ovary fallopian tube and broad ligament ,N83.8
Hematoma of broad ligament ,N83.7
Other noninflammatory disorders of ovary fallopian tube and broad ligament ,N83.8
Noninflammatory disorder of ovary fallopian tube and broad ligament unspecified ,N83.9
Polyp of corpus uteri ,N84.0
Subinvolution of uterus ,N85.3
Hypertrophy of uterus ,N85.2
Endometrial hyperplasia unspecified ,N85.00
Benign endometrial hyperplasia ,N85.01
Benign endometrial hyperplasia ,N85.01
Endometrial intraepithelial neoplasia [EIN] ,N85.02
Benign endometrial hyperplasia ,N85.01
Endometrial intraepithelial neoplasia [EIN] ,N85.02
Hematometra ,N85.7
Intrauterine synechiae ,N85.6
Malposition of uterus ,N85.4
Inversion of uterus ,N85.5
Other specified noninflammatory disorders of uterus ,N85.8
Noninflammatory disorder of uterus unspecified ,N85.9
Erosion and ectropion of cervix uteri ,N86
Dysplasia of cervix uteri unspecified ,N87.9
Mild cervical dysplasia ,N87.0
Moderate cervical dysplasia ,N87.1
Leukoplakia of cervix uteri ,N88.0
Old laceration of cervix uteri ,N88.1
Stricture and stenosis of cervix uteri ,N88.2
Incompetence of cervix uteri ,N88.3
Hypertrophic elongation of cervix uteri ,N88.4
Polyp of cervix uteri ,N84.1
Other specified noninflammatory disorders of cervix uteri ,N88.8
Noninflammatory disorder of cervix uteri unspecified ,N88.9
Dysplasia of vagina unspecified ,N89.3
Leukoplakia of vagina ,N89.4
Stricture and atresia of vagina ,N89.5
Tight hymenal ring ,N89.6
Other specified noninflammatory disorders of vagina ,N89.8
Other specified noninflammatory disorders of vagina ,N89.8
Other specified noninflammatory disorders of vagina ,N89.8
Polyp of vagina ,N84.2
Other specified noninflammatory disorders of vagina ,N89.8
Noninflammatory disorder of vagina unspecified ,N89.9
